EBA,spei,BA,year
0.012074496746063233,0.5765324791451925,0.07,2000
0.000126695754006505,0.4566682939884262,0.0025,2000
0.04591581344604492,0.4863004831320826,0.0775,2000
0.01282091498374939,0.7512718212060427,0.0275,2000
0.038086342811584475,0.7324522548713878,0.1325,2000
0.01803228974342346,0.9162587695883128,0.0475,2000
0.005972498059272766,0.9021206966548291,0.0225,2000
0.026683056354522706,0.9644067884980371,0.0875,2000
0.007218868732452393,0.9499806339488664,0.02,2000
0.06312794208526612,1.1174689809828722,0.0875,2000
0.027327766418457033,1.1971436357251684,0.05,2000
0.05143151760101319,1.165163053273527,0.095,2000
0.01721777319908142,-0.8041595799319092,0.0225,2000
0.026112582683563233,-0.8173937015522322,0.035,2000
0.12851330757141113,-0.6809174339740167,0.19,2000
0.14341245651245116,-0.7056348299581886,0.1875,2000
0.025520431995391845,-0.49578244977967983,0.0325,2000
0.0664515209197998,1.4232873721080774,0.105,2000
0.02120213270187378,-0.5710652460028623,0.0275,2000
0.1012490177154541,-0.5876584401936024,0.14,2000
0.2704682540893555,-0.6092717559273114,0.3625,2000
0.16536041259765624,-0.6523779345516948,0.205,2000
0.300103702545166,-0.585082606759109,0.3725,2000
0.21533355712890626,-0.6297895555344795,0.3025,2000
0.008774658441543579,-0.5141575089587658,0.0125,2000
0.007051063179969788,-0.5236351046323143,0.01,2000
0.005005502104759216,-0.5331901489085189,0.0075,2000
0.03462539434432983,-0.5422241985989855,0.055,2000
0.011460429430007935,-0.5475443145869804,0.0175,2000
0.02460317373275757,-0.7043906190570745,0.035,2000
0.15360615730285646,-0.44719010220482697,0.285,2000
0.28288095474243163,-0.4289471927855354,0.535,2000
0.11281189918518067,-0.40885517323425613,0.235,2000
0.0900048828125,-0.3948397385094445,0.12,2000
0.05776531219482422,-0.15619004665171018,0.09,2000
0.02191582679748535,-0.20392876507577049,0.035,2000
0.0462852144241333,-0.5580795640087051,0.085,2000
0.4838507080078125,-0.5583073581829954,0.6975,2000
0.09662117958068847,-0.5597794006359706,0.1775,2000
0.21739967346191405,-0.6609871802894017,0.2575,2000
0.04441446304321289,-0.4474407041887246,0.07,2000
0.0575597620010376,-0.4369526987944385,0.0825,2000
0.004987672567367553,0.2966819989967901,0.005,2000
0.01687459707260132,-0.5525530913805633,0.045,2000
0.017774384021759033,-0.5621860682189406,0.035,2000
0.026726059913635254,-0.5167830459352367,0.035,2000
0.004973531365394592,-0.590755745631234,0.005,2000
0.14964317321777343,-0.5780876333090997,0.2,2000
0.012845215797424316,-0.5737658043900188,0.015,2000
0.08427013397216797,-0.49063344073602494,0.1125,2000
0.5685852813720703,-0.49158656954390373,0.73,2000
0.0075422382354736325,-0.4995275297720926,0.015,2000
0.007784140706062317,-0.5438598788596166,0.01,2000
0.03683020353317261,-0.5563150672034034,0.05,2000
0.0117927885055542,-0.5628747577662193,0.0125,2000
0.20834650039672853,-0.5554717552197707,0.295,2000
0.006050000786781311,-0.5471274251228572,0.0075,2000
0.06579657077789307,-0.4764105180570203,0.08,2000
0.23879682540893554,-0.4724614433932385,0.28,2000
0.010513055324554443,-0.4778316748616001,0.015,2000
0.08808836936950684,-0.5185416333543804,0.145,2000
0.0011586713045835496,-0.5218574440765243,0.0025,2000
0.049915585517883304,-0.0409827696228645,0.175,2000
0.1231280517578125,-0.07109531345517096,0.35,2000
0.011825398206710816,-0.08905211509538272,0.0575,2000
0.006835713386535645,-0.3601623781543933,0.0075,2000
0.03750546932220459,-0.5284842114857534,0.05,2000
0.08382645606994629,-0.5521574413714548,0.11,2000
0.01318078875541687,-0.5248651990370198,0.015,2000
0.017934118509292604,-0.02362343786607687,0.105,2000
0.04060303211212158,-0.05341570972003099,0.185,2000
