year,t2m,tp,sm,vpd,spei,t2mmax
2020,1.0146636653587837,13.388959585388267,0.014362683330006835,0.4510838151449245,0.16925847111461842,0.5201613089708914
2021,1.0338890267644558,14.745208529038436,0.019138891235810928,0.9554897337028082,0.4217796991457009,2.2277182075528636
2022,1.5442231730799563,18.238511090580626,0.017443750192584477,0.6510739884215987,0.8593648232245396,2.4159285739545178
2023,1.0101126541234056,11.15005823849465,0.013694615308036956,0.7670825422720163,0.33722914202278736,1.1442714428000567
