month,t2m,tp,sm,vpd,spei,t2mmax
11,-0.13459706004149663,9.831281703783265,0.006222229041421429,-0.01861798827452854,0.4416972590670398,0.5368823020939365
12,0.45738306429128334,3.028151353281511,0.0045371591489480195,0.022156592402793544,0.405774334878216,0.6338473141924655
1,1.3062465118110398,8.054942159642334,0.002066858320618863,0.03259878630765754,0.4979696804439285,0.14083263573242585
2,-1.7945111938357639,6.889314394167314,-0.00015712871121903652,-0.025881992622839814,0.47829808082765435,0.45298403743065374
3,1.2544477276525654,-2.2259421075609223,0.0024783549181475717,0.16257794401318265,0.4170825452189525,0.4234235956625103
4,-0.7960830771122585,-4.121996076338782,-0.007211546832138007,0.049546588775359904,0.1876597490668836,-0.770382852484137
5,-0.8439354554795022,-3.252164870509207,0.0023757873497537766,-0.32341859276823265,0.10045141868009172,-1.362799509854909
6,1.2055670234053495,-5.149163568719147,-0.007159431170023707,0.8882753248952394,-0.14396308281303166,2.7797889143726846
7,1.2394397309678211,-16.30291711544175,-0.02902795025154021,1.456697214618492,-0.496899174142242,2.5040109072929697
8,0.8822057824355568,3.1714496126005685,-0.015558692266484861,0.6759005730179883,-0.6069310972303145,2.0807959980456556
9,1.1857158248044413,-12.26419458169518,-0.014543632236808586,0.5797958106316761,-0.7058262408439545,0.9292273320197908
10,1.3785215936528932,-11.904346773417371,-0.020959209511411166,0.37835531974102216,-0.6542312702082411,2.1141031345337087
