time,t2m,tp,sm,vpd,spei,t2mmax,month
2021-04-01,-0.6726383032821651,-6.0543358164609264,-0.0004945113396864343,0.12332786338885184,0.4288101696887948,0.39043942356225375,4
2021-05-01,-1.042723984395541,2.41442721368636,0.01332995936921794,-0.5622771878175876,0.4056577825754898,-2.3849684177083668,5
2021-06-01,1.3894108920585801,-4.9075649286201415,0.006844520814242316,0.6119048176207078,-0.0947258152616964,5.309982994554446,6
2021-07-01,1.266517412451512,-23.881983006283743,-0.03446442787656939,1.523985965746546,-0.560479008970462,3.2352789762335465,7
2021-08-01,0.17914730642141072,7.391667359770365,-0.004990504918639549,-0.012879774958113693,-0.6029941959353456,3.3229643516570935,8
2021-09-01,0.5060796236249246,21.206135258197754,0.0069960934821208225,-0.21011288670838538,-0.18974956516471692,0.42148429426593115,9
2021-10-01,1.3132153048687252,0.8469562335484407,0.0017842657074858164,0.140925535079377,0.15023776135030165,-0.5174417752257062,10
2021-11-01,1.3142710451421096,27.15256711211595,0.0023670585729449038,0.0457819402487836,0.21287665106950968,1.3724399811276906,11
2021-12-01,-4.031972613699125,6.182331089579937,-0.0007669157766142894,-0.06487324984433042,0.21409852178147548,-3.5752922880983755,12
2022-01-01,-1.7320367015889333,8.858710332169716,-0.0019658743603731166,-0.01971687025774536,1.1071879319173015,-0.4401968270550407,1
2022-02-01,-1.6226483412357542,13.079171872006789,-0.002742682905418061,-0.013881459906866218,1.1822176740964234,0.38297385437239156,2
2022-03-01,0.8531143695719157,-0.2171106238491927,-0.003806608220459703,0.010368490001080734,0.9133432448818238,-0.4791135007511711,3
2022-04-01,-1.8811369014693122,2.234634959224911,-0.014627442680558706,-0.2707065687993153,0.5703386249161421,-2.6266494251704313,4
2022-05-01,-1.2071047315882097,13.38902867433272,0.014861700555673,-0.7300843203148741,0.4830006784809066,-2.4949175040230713,5
2022-06-01,0.409258536780808,6.793655912147027,0.008418311215732192,0.1085478012788557,0.3501771149409664,-0.1734701332367345,6
2022-07-01,0.5455339168517057,-7.8682096879458285,-0.006732554721363709,0.33431585705417977,0.07299424846350867,0.9803861549196509,7
2022-08-01,1.8829357678331597,-12.816782799277222,-0.020895945962876614,1.2259013074000003,-0.5251008015946996,1.2752941933101611,8
2022-09-01,2.1665901450996485,-41.87951875245165,-0.03145557183604553,1.0726521330167889,-1.292262214922226,3.2354834269148207,9
2022-10-01,2.369826286930708,-27.930108018406358,-0.03434529465366646,0.6122875465826575,-1.7838981634817868,4.167389816322532,10
2022-11-01,-0.6179908202053902,-34.29592848094786,-0.01943547644562024,-0.016452648624806603,-2.3223784468575497,-0.4794206475887914,11
2022-12-01,-3.1662905942992885,-23.897446243040328,-0.018586953864836348,-0.08487488473348626,-1.9391517235627977,-0.08110442274334505,12
