EBA,spei,BA,Other_species,Invader,resister,avoider,embracer,endurer
0.0,-0.9265459509826067,0.0325,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.9102840077962878,0.0425,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.1547651410574518,0.02,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.17537835402293478,0.225,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.1829346147140573,0.015,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.20755592427478417,0.1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.3950631486192774,0.06,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.10500258606577943,0.025,0.0,0.0,0.0,0.0,0.0,0.0
8.223684504628181e-05,-0.21525846063124418,0.045,0.0,0.0,0.0,0.0,0.0,0.0
0.00021381577476859093,-0.36346552719175634,0.06,0.0,0.0,0.0,0.0,0.0,0.0
4.934210330247879e-05,-0.34634488833578236,0.015,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.8263737984011674,0.0175,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.7948604410991494,0.0525,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.12620334352505996,0.02,0.0,0.0,0.0,0.0,0.0,0.0
0.007828633785247802,-0.1989593486258198,0.025,0.002371867299079895,0.0,0.0018223685026168824,0.0005494987964630127,0.0,0.0
0.002180764377117157,-0.15179793307810713,0.005,0.0008389724045991898,0.0,0.0008032581210136413,3.571428591385484e-05,0.0,0.0
0.01357800602912903,-0.101755233758801,0.055,0.008892857432365418,0.0,0.008401315808296204,0.00049154132604599,0.0,0.0
0.0,-0.9061051834120286,0.0425,0.0,0.0,0.0,0.0,0.0,0.0
0.0006430137902498246,-0.2329610568829658,0.015,0.0004611528664827347,0.0,0.0,0.0004611528664827347,0.0,0.0
0.002346334606409073,-0.1826005389735919,0.04,0.0021727757155895235,0.0,0.0010371240973472595,0.0011177945137023926,0.0,0.0
0.0,-0.8808771930864859,0.085,0.0,0.0,0.0,0.0,0.0,0.0
0.002362781912088394,-0.4092059442264923,0.035,0.0010383772104978562,0.0,0.0,0.0010026629269123078,0.0,0.0
0.0006578947603702545,-0.4233012916043499,0.005,0.00032894738018512726,0.0,0.0,0.0003070175461471081,0.0,0.0
0.005013471245765686,-0.33958002749968536,0.0825,0.005569391846656799,0.0,0.003993420898914337,0.0015343044698238372,0.0,0.0
0.002521616518497467,-0.2621068171662122,0.0425,0.0023663845658302308,0.0,0.00010447995737195015,0.002261904776096344,0.0,0.0
0.00028900377452373505,-0.20133811504516114,0.01,0.00040695488452911375,0.0,6.250000558793544e-05,0.00034445486962795255,0.0,0.0
0.010731673240661621,-0.18109633808778608,0.05,0.004668703079223633,0.0,0.0006271930038928985,0.0040415099263191225,0.0,0.0
0.052313284873962404,-0.15735671998304657,0.27,0.0505346155166626,0.0,0.031780543327331545,0.01875407338142395,0.0,0.0
0.015834742784500123,-0.14808869193463942,0.0825,0.012471647262573242,0.0,0.0037045741081237794,0.00876707375049591,0.0,0.0
0.0,-0.04323840592493825,0.01,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.04362599015955321,0.01,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.03501963798869791,0.045,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.06082463789557186,0.01,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0937950625137722,0.03,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.1582525337803513,0.1425,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.1790506752788621,0.1325,0.0,0.0,0.0,0.0,0.0,0.0
0.0037957394123077394,-0.7807519291172251,0.025,0.005190945863723755,0.0,0.0,0.004758772253990173,0.0,0.0
0.02295316219329834,-0.8137245317192523,0.1,0.02019094467163086,0.0,0.0001696428656578064,0.01903195381164551,0.0,0.0
0.005174655318260193,-0.24991167421541544,0.015,0.001494360864162445,0.0,0.0005245927348732949,0.0009697682410478592,0.0,0.0
0.01152803897857666,-0.22377120641790452,0.06,0.021311874389648437,0.0,0.0,0.017656641006469728,0.0,0.0
0.0,0.1294224645397732,0.02,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.2613537018290879,0.015,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.2587094000907311,0.015,0.0,0.0,0.0,0.0,0.0,0.0
0.0008728070557117462,-0.30541477782043963,0.02,0.008291666507720947,0.0,0.0,0.0082039475440979,0.0,0.0
0.0032324561476707457,-0.3136008406419141,0.025,0.005211622714996338,0.0,0.0,0.003440789580345154,0.0,0.0
0.00809445559978485,-0.8324847640556143,0.035,0.0026749688386917114,0.0,0.0,0.002654135525226593,0.0,0.0
0.007278069853782654,-0.40148131717707064,0.0375,0.013292324542999268,0.0,0.0,0.012445833683013916,0.0,0.0
0.0,0.19251642335599026,0.03,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.16595314660823268,0.015,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.11958150416079767,0.0775,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.9405081767007788,0.005,0.0,0.0,0.0,0.0,0.0,0.0
0.01159210443496704,-0.8335948593580121,0.015,0.0011085528135299683,0.0,0.0,0.0011085525900125504,0.0,0.0
0.01698684096336365,-0.42510798025771956,0.0775,0.010847588777542114,0.0,0.0,0.010025219917297363,0.0,0.0
0.0,-0.8454386759777923,0.0075,0.0,0.0,0.0,0.0,0.0,0.0
