year,area,threshold,model
2044,117522044136754.77,n15,mpi
2045,61606441020096.09,n15,mpi
2046,58751139956635.31,n15,mpi
2047,19557176741861.676,n15,mpi
2048,88211956510800.48,n15,mpi
2049,64473929706311.72,n15,mpi
2050,49014116001685.09,n15,mpi
2051,123508043556915.19,n15,mpi
2052,26221215084920.902,n15,mpi
2053,72044598163156.94,n15,mpi
2054,58132849094826.81,n15,mpi
2055,91915354327377.69,n15,mpi
2056,67912553011380.78,n15,mpi
2057,22705372503472.246,n15,mpi
2058,81241232570595.16,n15,mpi
2059,86622981721537.14,n15,mpi
2060,23827370110281.297,n15,mpi
2061,146328925391522.38,n15,mpi
2062,65387112001342.34,n15,mpi
2063,127328488877603.75,n15,mpi
2064,46945697419243.98,n15,mpi
2065,96799993916357.06,n15,mpi
2066,31467946771106.15,n15,mpi
2067,135268394124252.38,n15,mpi
2068,35722341960088.14,n15,mpi
2069,113821544619853.7,n15,mpi
2070,54329962649726.58,n15,mpi
2071,38154357639764.53,n15,mpi
2072,102364132064262.03,n15,mpi
2073,68863255228935.664,n15,mpi
2074,63412999891527.195,n15,mpi
2075,52315690717226.68,n15,mpi
2076,163352717851233.25,n15,mpi
2077,70888455671226.47,n15,mpi
2078,169274074234508.3,n15,mpi
2079,102538956706088.81,n15,mpi
2080,110191638342527.11,n15,mpi
2081,133227601327448.64,n15,mpi
2082,118796269615146.12,n15,mpi
2083,63570823250302.83,n15,mpi
2084,81336717822294.25,n15,mpi
2085,64983594518269.66,n15,mpi
2086,110836261397436.14,n15,mpi
2087,93424180793250.1,n15,mpi
2088,109276396570186.6,n15,mpi
2089,160466370663732.1,n15,mpi
2090,184535986715552.0,n15,mpi
2091,136865225166003.33,n15,mpi
2092,125195362067204.38,n15,mpi
2093,135093862370550.56,n15,mpi
2094,64244695225808.055,n15,mpi
2095,88240429787657.84,n15,mpi
2096,178746220020580.62,n15,mpi
2097,165763348670495.88,n15,mpi
2098,137381058061070.72,n15,mpi
2099,116375981099114.89,n15,mpi
2100,118778369748259.94,n15,mpi
2031,4237885201202.9043,n21,ipsl
2032,30985766558980.723,n21,ipsl
2033,2168104808406.5425,n21,ipsl
2034,6866438200868.338,n21,ipsl
2035,17377860710477.52,n21,ipsl
2036,5286382297862.352,n21,ipsl
2037,2214832796390.9165,n21,ipsl
2038,23840685782744.688,n21,ipsl
2039,18765058482927.668,n21,ipsl
2040,3440645327995.6943,n21,ipsl
2041,15400348318743.916,n21,ipsl
2042,10204317343498.63,n21,ipsl
2043,38893819849450.49,n21,ipsl
2044,33846009126310.516,n21,ipsl
2045,3900145708641.376,n21,ipsl
2046,19002572220126.504,n21,ipsl
2047,7566790414338.673,n21,ipsl
2048,16904948240952.71,n21,ipsl
2049,35343893681248.69,n21,ipsl
2050,15485392149329.332,n21,ipsl
2051,13845156152232.34,n21,ipsl
2052,3216270664949.623,n21,ipsl
2053,15684569190009.91,n21,ipsl
2054,16224443122809.05,n21,ipsl
2055,18881240974096.434,n21,ipsl
2056,41136082945603.6,n21,ipsl
2057,36424788271078.65,n21,ipsl
2058,38638423227238.875,n21,ipsl
2059,8052403857499.344,n21,ipsl
2060,13279711557589.867,n21,ipsl
2061,24193259224064.043,n21,ipsl
2062,29877725592894.97,n21,ipsl
2063,7690426739077.886,n21,ipsl
2064,20064736660827.965,n21,ipsl
2065,25692226661823.664,n21,ipsl
2066,91107904961417.6,n21,ipsl
2067,46029732520060.19,n21,ipsl
2068,75310489785530.11,n21,ipsl
2069,37234159921518.47,n21,ipsl
2070,23117259549197.848,n21,ipsl
2071,15778740320375.79,n21,ipsl
2072,27707884773678.72,n21,ipsl
2073,39725378151997.625,n21,ipsl
2074,32137817344536.836,n21,ipsl
2075,15729959319820.75,n21,ipsl
2076,19093609919748.78,n21,ipsl
2077,66778350349264.31,n21,ipsl
2078,101063910156566.66,n21,ipsl
2079,43912308499004.88,n21,ipsl
2080,108814349951154.22,n21,ipsl
2081,62049654790690.33,n21,ipsl
2082,49526608760733.01,n21,ipsl
2083,30708929772337.062,n21,ipsl
2084,116628440002123.44,n21,ipsl
2085,23936498583516.008,n21,ipsl
2086,114310718054196.5,n21,ipsl
