year,area,threshold,model
2031,25869358949123.887,n21,ukesm
2032,42410227082025.38,n21,ukesm
2033,860418430984.2424,n21,ukesm
2034,28297420808725.016,n21,ukesm
2035,17828286160198.695,n21,ukesm
2036,29657269581462.457,n21,ukesm
2037,20984738714958.176,n21,ukesm
2038,18222460124706.7,n21,ukesm
2039,7281483916330.443,n21,ukesm
2040,31602665899416.71,n21,ukesm
2041,8092927688888.934,n21,ukesm
2042,16302717443954.023,n21,ukesm
2043,10923283709813.32,n21,ukesm
2044,10093038821205.676,n21,ukesm
2045,13296147168057.209,n21,ukesm
2046,43780791132886.28,n21,ukesm
2047,4209323217824.9873,n21,ukesm
2048,8351434606693.915,n21,ukesm
2049,5054254792441.075,n21,ukesm
2050,34798392114467.543,n21,ukesm
2051,22222318847793.81,n21,ukesm
2052,6183291215421.348,n21,ukesm
2053,63069897961132.31,n21,ukesm
2054,32459750195106.527,n21,ukesm
2055,47264107287903.14,n21,ukesm
2056,59694780467309.72,n21,ukesm
2057,6725252082957.127,n21,ukesm
2058,8371751778793.33,n21,ukesm
2059,15302013410402.84,n21,ukesm
2060,8116489711254.924,n21,ukesm
2061,34071011169740.62,n21,ukesm
2062,27062217139134.56,n21,ukesm
2063,37717689806999.57,n21,ukesm
2064,8394919889852.056,n21,ukesm
2065,29233981929060.12,n21,ukesm
2066,10158948596004.363,n21,ukesm
2067,49986941343411.15,n21,ukesm
2068,6282178251180.018,n21,ukesm
2069,6643460481445.956,n21,ukesm
2070,10116992172462.287,n21,ukesm
2071,22367226432031.477,n21,ukesm
2072,7692682040609.955,n21,ukesm
2073,7881375193656.81,n21,ukesm
2074,53419427750819.6,n21,ukesm
2075,16874887457013.717,n21,ukesm
2076,30750017696382.125,n21,ukesm
2077,7924921760367.251,n21,ukesm
2078,11698613036173.453,n21,ukesm
2079,14036002894069.686,n21,ukesm
2080,60399277930063.19,n21,ukesm
2081,25581875302265.21,n21,ukesm
2082,27222936375987.902,n21,ukesm
2083,3836678713937.289,n21,ukesm
2084,6098219058684.683,n21,ukesm
2085,4583882306467.064,n21,ukesm
2086,14288773162090.953,n21,ukesm
2087,10490011971716.512,n21,ukesm
