year,area,threshold,model
2034,617488656277.1274,n15,gfdl
2035,591678031952.9681,n15,gfdl
2036,1013937923633.059,n15,gfdl
2037,355902454109.0683,n15,gfdl
2038,1366138297498.4016,n15,gfdl
2039,1145333443463.8394,n15,gfdl
2040,476924585941.23926,n15,gfdl
2041,717442053004.8582,n15,gfdl
2042,499131740893.2618,n15,gfdl
2043,1446835022939.9287,n15,gfdl
2044,1774133532312.9722,n15,gfdl
2045,1375571739125.7808,n15,gfdl
2046,390022704341.2787,n15,gfdl
2047,1480070687125.4841,n15,gfdl
2048,2754756772346.107,n15,gfdl
2049,1445173027370.1392,n15,gfdl
2050,720680889765.73,n15,gfdl
2051,1706861589105.5186,n15,gfdl
2052,1177819113347.0994,n15,gfdl
2053,1606581979578.0684,n15,gfdl
2054,650462162917.9055,n15,gfdl
2055,1562256922278.7998,n15,gfdl
2056,795247092924.6611,n15,gfdl
2057,845790293824.3853,n15,gfdl
2058,1087673265539.2828,n15,gfdl
2059,1443603894937.7866,n15,gfdl
2060,2167021350612.8652,n15,gfdl
2061,823321702086.9482,n15,gfdl
2062,592078259983.0758,n15,gfdl
2063,1117302651232.0312,n15,gfdl
2064,1153818827842.2056,n15,gfdl
2065,1065836212936.9128,n15,gfdl
2066,730022868670.2789,n15,gfdl
2067,973222450980.4263,n15,gfdl
2068,1068499337190.7839,n15,gfdl
2069,1485685007484.6191,n15,gfdl
2070,1801713765124.0771,n15,gfdl
2071,945430360743.368,n15,gfdl
2072,1126989445723.0713,n15,gfdl
2073,1909496560201.7197,n15,gfdl
2074,1689323156144.2139,n15,gfdl
2075,799490114153.7053,n15,gfdl
2076,1100044230093.9434,n15,gfdl
2077,758225869600.6603,n15,gfdl
2078,1577378801945.3623,n15,gfdl
2079,1439483485779.0063,n15,gfdl
2080,1688382830097.624,n15,gfdl
2081,974175059691.9901,n15,gfdl
2082,1958360999505.8586,n15,gfdl
2083,1324013986070.8467,n15,gfdl
2084,2171255030315.2405,n15,gfdl
2085,2678950034358.6436,n15,gfdl
2086,1718703820177.8828,n15,gfdl
2087,2620271024827.567,n15,gfdl
2088,876891779020.3455,n15,gfdl
2089,2624954983717.5513,n15,gfdl
2090,1457639400835.253,n15,gfdl
2091,1650868719044.1023,n15,gfdl
2092,1964399837405.205,n15,gfdl
2093,1975569811841.7676,n15,gfdl
2094,2419266796643.6704,n15,gfdl
2095,2010336796709.3132,n15,gfdl
2096,1505035114435.5703,n15,gfdl
2097,2213737721133.6045,n15,gfdl
2098,1776766993773.8162,n15,gfdl
2099,2952707824597.6514,n15,gfdl
2100,2107364815783.3677,n15,gfdl
2031,695933123153.4524,n21,mpi
2032,74433991923.207,n21,mpi
2033,187504018792.99307,n21,mpi
2034,493118641030.886,n21,mpi
2035,673756955274.7205,n21,mpi
2036,371554544885.4143,n21,mpi
2037,495557520367.82495,n21,mpi
2038,1150711888191.3123,n21,mpi
2039,142450343481.20804,n21,mpi
2040,68841728967.85246,n21,mpi
2041,228790928167.28027,n21,mpi
2042,489683582970.51404,n21,mpi
2043,480555202015.2494,n21,mpi
2044,1317436503268.4263,n21,mpi
2045,301774315031.1204,n21,mpi
2046,365944221170.12,n21,mpi
2047,196359441377.88367,n21,mpi
2048,772207536399.6394,n21,mpi
2049,658706241591.6401,n21,mpi
2050,430803095701.8701,n21,mpi
2051,1675967293215.214,n21,mpi
2052,205816000089.618,n21,mpi
2053,798038757120.1239,n21,mpi
2054,435987893388.5932,n21,mpi
2055,987984888020.3059,n21,mpi
2056,663842612761.9832,n21,mpi
2057,216996177023.38516,n21,mpi
2058,939371964576.3335,n21,mpi
2059,716263883635.4443,n21,mpi
2060,182139912490.76843,n21,mpi
2061,1611102813388.4175,n21,mpi
2062,504627073282.9066,n21,mpi
2063,1687048991605.0464,n21,mpi
2064,318969284558.6108,n21,mpi
2065,1075539068165.647,n21,mpi
2066,265744597161.4736,n21,mpi
2067,1955718290121.8716,n21,mpi
2068,359797765597.7898,n21,mpi
2069,1613507097699.516,n21,mpi
2070,477932183642.348,n21,mpi
2071,234727041311.3866,n21,mpi
2072,941323473736.1561,n21,mpi
2073,661919228313.116,n21,mpi
2074,456745044583.7549,n21,mpi
2075,471362480694.1238,n21,mpi
2076,2566025787472.3647,n21,mpi
2077,398178184114.7698,n21,mpi
2078,2520933346099.7583,n21,mpi
2079,1025735055480.2183,n21,mpi
2080,1057619716722.6403,n21,mpi
2081,1497230680501.3584,n21,mpi
2082,1099566936001.98,n21,mpi
2083,343336430061.16034,n21,mpi
2084,773591482988.651,n21,mpi
2085,526205356547.1627,n21,mpi
2086,1230182155168.7056,n21,mpi
2087,794949013460.5726,n21,mpi
2088,1248498818795.569,n21,mpi
2089,1980685441419.4026,n21,mpi
2090,2579460004048.516,n21,mpi
2091,1114339556850.9739,n21,mpi
2092,1465115722915.7666,n21,mpi
2093,2089517563507.3298,n21,mpi
2094,426626887158.2261,n21,mpi
2095,931681477288.6802,n21,mpi
2096,2358264920141.8804,n21,mpi
2097,2146279109042.3975,n21,mpi
2098,1714525500194.776,n21,mpi
2099,1475315630663.3745,n21,mpi
2100,2012338493699.501,n21,mpi
2031,112679617151.62006,n21,ipsl
2032,750778507624.2626,n21,ipsl
2033,69084998874.17221,n21,ipsl
2034,186378465120.6388,n21,ipsl
2035,357018229539.0202,n21,ipsl
2036,127465740371.3701,n21,ipsl
2037,72247660912.54472,n21,ipsl
2038,512347018946.5854,n21,ipsl
2039,501104792557.1913,n21,ipsl
2040,61417194406.234184,n21,ipsl
2041,454672135614.0946,n21,ipsl
2042,249291735261.1904,n21,ipsl
2043,808189244789.0549,n21,ipsl
2044,740744044168.7856,n21,ipsl
2045,93798160800.91437,n21,ipsl
2046,511393376101.55164,n21,ipsl
2047,207462403171.35962,n21,ipsl
2048,413284230933.4601,n21,ipsl
2049,724767765050.8806,n21,ipsl
2050,348262826927.1732,n21,ipsl
2051,365173721051.1041,n21,ipsl
2052,83232602383.14374,n21,ipsl
2053,367188628228.97675,n21,ipsl
2054,385863832608.6903,n21,ipsl
2055,503414627188.77136,n21,ipsl
2056,870422268684.1755,n21,ipsl
2057,877196769302.887,n21,ipsl
2058,763769973419.9972,n21,ipsl
2059,224309626282.91205,n21,ipsl
2060,380818070219.4425,n21,ipsl
2061,639478676439.3203,n21,ipsl
2062,596000021654.4984,n21,ipsl
2063,219785326126.79434,n21,ipsl
2064,481725223538.80164,n21,ipsl
2065,692280471289.3237,n21,ipsl
2066,1939648402957.428,n21,ipsl
2067,872528538094.7551,n21,ipsl
2068,1814308385458.0552,n21,ipsl
2069,749857082261.9824,n21,ipsl
2070,534578331031.8182,n21,ipsl
2071,505867060073.53064,n21,ipsl
2072,599230962615.6843,n21,ipsl
2073,768719936546.0209,n21,ipsl
2074,814655171149.5378,n21,ipsl
2075,428578652871.42346,n21,ipsl
2076,519185124175.345,n21,ipsl
2077,1374029078947.4985,n21,ipsl
2078,2256065371303.6953,n21,ipsl
2079,1157381629153.2266,n21,ipsl
2080,2312410960633.022,n21,ipsl
2081,1698793687203.54,n21,ipsl
2082,1117223662887.1277,n21,ipsl
2083,673344856647.2026,n21,ipsl
2084,2712790452817.7207,n21,ipsl
2085,696768560437.092,n21,ipsl
2086,2313009113185.194,n21,ipsl
2087,2480672808605.0947,n21,ipsl
2088,771637085663.3977,n21,ipsl
2089,2578317740759.29,n21,ipsl
2090,3381522220994.0,n21,ipsl
2091,2261093442863.6084,n21,ipsl
2092,2325827101132.639,n21,ipsl
2093,2599231546151.522,n21,ipsl
2094,1499940601908.3467,n21,ipsl
2095,1979916124585.4653,n21,ipsl
2096,2296145446569.552,n21,ipsl
2097,2086052860090.1267,n21,ipsl
2098,3031145988790.641,n21,ipsl
2099,3592290457553.8857,n21,ipsl
2100,3206652256945.785,n21,ipsl
2031,381779084457.86945,n15,mri
2032,363178220188.11865,n15,mri
2033,197076591486.1402,n15,mri
2034,300725488819.7987,n15,mri
2035,532736148360.0223,n15,mri
2036,458653201209.50464,n15,mri
2037,1309129928211.555,n15,mri
2038,849557246699.1344,n15,mri
2039,283353062800.8291,n15,mri
2040,137646181948.6477,n15,mri
2041,284018295955.0043,n15,mri
2042,275384830622.90845,n15,mri
2043,645134447833.5347,n15,mri
2044,179444040258.6006,n15,mri
2045,430319118477.3058,n15,mri
2046,93740974624.87207,n15,mri
2047,300851599996.5723,n15,mri
2048,551010384526.5863,n15,mri
2049,313768562734.03186,n15,mri
2050,654408391422.5708,n15,mri
2051,319125417617.8202,n15,mri
2052,407617889997.5261,n15,mri
2053,802118644137.0911,n15,mri
2054,648522977348.8503,n15,mri
2055,1153370296526.872,n15,mri
2056,874959352371.1981,n15,mri
2057,473233186741.6102,n15,mri
2058,126914435029.52951,n15,mri
2059,327206825734.53076,n15,mri
2060,445327839507.319,n15,mri
2061,353618160695.3029,n15,mri
2062,343491623132.08405,n15,mri
2063,748516313496.0889,n15,mri
2064,137646185316.10916,n15,mri
2065,693133592453.8103,n15,mri
2066,505506548536.1867,n15,mri
2067,388620207117.4866,n15,mri
2068,790628071989.6101,n15,mri
2069,418322012875.27563,n15,mri
2070,685505245491.0588,n15,mri
2071,455242131961.3503,n15,mri
2072,320314337756.4157,n15,mri
2073,384982602868.7662,n15,mri
2074,373649163262.3832,n15,mri
2075,1042650583768.738,n15,mri
2076,578976681356.5934,n15,mri
2077,102219128948.00114,n15,mri
2078,131094183452.9013,n15,mri
2079,215884197220.55682,n15,mri
2080,357300639910.7977,n15,mri
2081,368240824078.39795,n15,mri
2082,293359840398.56744,n15,mri
2083,444630767555.265,n15,mri
2084,424059906489.329,n15,mri
2085,174484646378.4516,n15,mri
2086,389745220697.3793,n15,mri
2087,363956691059.64246,n15,mri
2088,207714817473.75848,n15,mri
2089,244666696057.622,n15,mri
2090,340866449343.5026,n15,mri
2091,187412398837.5027,n15,mri
2092,612721953627.7487,n15,mri
2093,97075678546.06079,n15,mri
2094,385012060244.53357,n15,mri
2095,253705765181.401,n15,mri
2096,375385783379.7484,n15,mri
2097,1009102284125.1288,n15,mri
2098,236158280194.3867,n15,mri
2099,342142034983.31177,n15,mri
2100,1739949883738.7307,n15,mri
2031,150211342082.34125,n21,gfdl
