year,area,threshold,model
2031,662142166675.0334,n21,ukesm
2032,970004986973.4177,n21,ukesm
2033,34395380821.13009,n21,ukesm
2034,597904398037.5178,n21,ukesm
2035,488028688542.78564,n21,ukesm
2036,674203994685.7683,n21,ukesm
2037,419561985681.2706,n21,ukesm
2038,362224015213.6585,n21,ukesm
2039,255034758380.4071,n21,ukesm
2040,588568455549.9037,n21,ukesm
2041,229735502348.5733,n21,ukesm
2042,506627343415.56995,n21,ukesm
2043,258612106964.48563,n21,ukesm
2044,282626539025.08356,n21,ukesm
2045,550678206324.7781,n21,ukesm
2046,1261342992862.5605,n21,ukesm
2047,106219344944.27838,n21,ukesm
2048,197747269351.3828,n21,ukesm
2049,166887609347.0615,n21,ukesm
2050,743314329249.9736,n21,ukesm
2051,621839467334.9924,n21,ukesm
2052,199390907271.9308,n21,ukesm
2053,1340349520427.9082,n21,ukesm
2054,622651230178.9424,n21,ukesm
2055,860678778139.7585,n21,ukesm
2056,1392675446317.5146,n21,ukesm
2057,265551108498.0139,n21,ukesm
2058,244717926658.77426,n21,ukesm
2059,438111625991.88367,n21,ukesm
2060,259479090512.3225,n21,ukesm
2061,784811517838.6996,n21,ukesm
2062,501895060941.9851,n21,ukesm
2063,817051100785.769,n21,ukesm
2064,285595158635.7202,n21,ukesm
2065,614100135425.3127,n21,ukesm
2066,208153542953.02042,n21,ukesm
2067,1148134662639.7493,n21,ukesm
2068,209045474266.2545,n21,ukesm
2069,223250689079.6068,n21,ukesm
2070,247405014507.83655,n21,ukesm
2071,574348448287.4685,n21,ukesm
2072,238313806978.3152,n21,ukesm
2073,190019979411.3839,n21,ukesm
2074,1358949123536.1514,n21,ukesm
2075,525896380980.01013,n21,ukesm
2076,873889811561.6316,n21,ukesm
2077,274221683973.80377,n21,ukesm
2078,277359128409.14514,n21,ukesm
2079,337939118078.2256,n21,ukesm
2080,1291236382568.6853,n21,ukesm
2081,758623368963.095,n21,ukesm
2082,623502593626.5994,n21,ukesm
2083,127162755850.53104,n21,ukesm
2084,271772552621.70987,n21,ukesm
2085,159621975848.73798,n21,ukesm
2086,374639067634.2722,n21,ukesm
2087,330502229821.9386,n21,ukesm
2088,296963093832.7084,n21,ukesm
2089,589427751476.1064,n21,ukesm
2090,848134954453.7275,n21,ukesm
2091,116216064043.98615,n21,ukesm
2092,1467516253623.355,n21,ukesm
2093,1362971794388.5176,n21,ukesm
2094,592779668711.7839,n21,ukesm
2095,253009138460.3275,n21,ukesm
2096,388858559920.39026,n21,ukesm
2097,288929050287.15607,n21,ukesm
2098,367537238453.51886,n21,ukesm
2099,928737568488.4592,n21,ukesm
2100,614691533071.1973,n21,ukesm
2031,1266481460801.4404,n15,ipsl
2032,1403643260726.072,n15,ipsl
2033,889428170215.2495,n15,ipsl
2034,1416107866704.1753,n15,ipsl
2035,1584549348435.391,n15,ipsl
2036,984690357938.5818,n15,ipsl
2037,1733516356000.3706,n15,ipsl
2038,454544003201.57385,n15,ipsl
2039,585022273516.9574,n15,ipsl
2040,1236575875554.0422,n15,ipsl
2041,734216569816.218,n15,ipsl
2042,1010499791640.6194,n15,ipsl
2043,409388665120.2874,n15,ipsl
