year,area,threshold,model
2045,35566143563403.41,n15,mpi
2046,76061487276843.5,n15,mpi
2047,80157299819128.62,n15,mpi
2048,36991970243860.266,n15,mpi
2049,51978399761567.84,n15,mpi
2050,109652373933814.89,n15,mpi
2051,32927971622965.395,n15,mpi
2052,72564098560254.66,n15,mpi
2053,86610959071393.31,n15,mpi
2054,41477841197828.15,n15,mpi
2055,24127855868410.195,n15,mpi
2056,22975241477117.34,n15,mpi
2057,55530512516519.05,n15,mpi
2058,109183437759716.94,n15,mpi
2059,88413642657836.02,n15,mpi
2060,26530690247062.867,n15,mpi
2061,75795614892352.27,n15,mpi
2062,88442772306056.05,n15,mpi
2063,105591360010772.95,n15,mpi
2064,45452385504098.336,n15,mpi
2065,58436966670588.16,n15,mpi
2066,78435837597402.7,n15,mpi
2067,98807238825413.25,n15,mpi
2068,38497672510123.83,n15,mpi
2069,75086348628421.78,n15,mpi
2070,111175379105568.8,n15,mpi
2071,38667423879782.234,n15,mpi
2072,74910192866129.1,n15,mpi
2073,68775502464957.02,n15,mpi
2074,43245768441875.86,n15,mpi
2075,82279860698952.64,n15,mpi
2076,103886546909089.81,n15,mpi
2077,72715253703701.14,n15,mpi
2078,71284470301299.06,n15,mpi
2079,157469506072980.84,n15,mpi
2080,116035583029668.5,n15,mpi
2081,108792074985965.4,n15,mpi
2082,59943034444285.164,n15,mpi
2083,134001461865177.98,n15,mpi
2084,41801353449273.58,n15,mpi
2085,143579670715506.8,n15,mpi
2086,77754433506895.61,n15,mpi
2087,87086176324815.06,n15,mpi
2088,148067689858701.75,n15,mpi
2089,100650554418374.44,n15,mpi
2090,106511629349696.38,n15,mpi
2091,129745933365928.8,n15,mpi
2092,66277956605432.45,n15,mpi
2093,57516343151739.19,n15,mpi
2094,113499993619191.31,n15,mpi
2095,81603603188218.28,n15,mpi
2096,130469540623457.38,n15,mpi
2097,31656422353219.977,n15,mpi
2098,132803363962144.97,n15,mpi
2099,127462247300617.69,n15,mpi
2100,117216927409346.06,n15,mpi
2031,5684157473301.366,n21,ipsl
2032,6152109080532.574,n21,ipsl
2033,13564157523413.752,n21,ipsl
2034,15300692763512.873,n21,ipsl
2035,6198547247470.337,n21,ipsl
2036,10043570984085.746,n21,ipsl
2037,11918230272073.71,n21,ipsl
2038,10132964608149.818,n21,ipsl
2039,27456114298800.793,n21,ipsl
2040,20672155789881.047,n21,ipsl
2041,6111206128024.3,n21,ipsl
2042,15013896719024.014,n21,ipsl
2043,6408442337677.739,n21,ipsl
2044,5122682406454.639,n21,ipsl
2045,3404744910628.6333,n21,ipsl
2046,19592780756626.5,n21,ipsl
2047,23451385533081.02,n21,ipsl
2048,12820672069554.943,n21,ipsl
2049,9652467282741.74,n21,ipsl
2050,30933749065802.477,n21,ipsl
2051,27699034762497.895,n21,ipsl
2052,4674932877076.914,n21,ipsl
2053,11656330516162.355,n21,ipsl
2054,5102396280249.42,n21,ipsl
2055,23973547421413.44,n21,ipsl
2056,9065965050289.594,n21,ipsl
2057,17222611437940.389,n21,ipsl
2058,10577794451216.512,n21,ipsl
2059,22423936226295.266,n21,ipsl
2060,15410490189001.12,n21,ipsl
2061,32962341481016.7,n21,ipsl
2062,18715047280431.47,n21,ipsl
2063,76230342997231.97,n21,ipsl
2064,18488606001929.273,n21,ipsl
2065,18954186190928.81,n21,ipsl
2066,9900108237617.004,n21,ipsl
2067,33246091223452.65,n21,ipsl
2068,17818786938151.258,n21,ipsl
2069,16152524065125.816,n21,ipsl
2070,2787719786442.9336,n21,ipsl
2071,11410200779954.043,n21,ipsl
2072,99124574125852.28,n21,ipsl
2073,22036013570290.742,n21,ipsl
2074,16591574289197.602,n21,ipsl
2075,34816992223844.508,n21,ipsl
2076,36850446073563.44,n21,ipsl
2077,42745540574122.39,n21,ipsl
2078,43419387487502.39,n21,ipsl
2079,86101599478054.88,n21,ipsl
2080,22332629209702.273,n21,ipsl
2081,16169715821145.924,n21,ipsl
2082,108337710916034.19,n21,ipsl
2083,107498414405049.45,n21,ipsl
2084,62186444499186.016,n21,ipsl
2085,50815590802915.5,n21,ipsl
2086,31389899257397.555,n21,ipsl
2087,16418571791917.943,n21,ipsl
2088,26777212556865.645,n21,ipsl
2089,85787722876080.69,n21,ipsl
2090,33322826893502.598,n21,ipsl
2091,59491899456793.93,n21,ipsl
2092,34379483229054.914,n21,ipsl
2093,80559970309218.9,n21,ipsl
2094,126920184868962.08,n21,ipsl
2095,18299952975728.67,n21,ipsl
2096,21608904362746.477,n21,ipsl
2097,84541209333778.9,n21,ipsl
2098,105541585574269.53,n21,ipsl
2099,83634564558282.16,n21,ipsl
2100,35573737769891.62,n21,ipsl
2031,2093952949121.3352,n21,mpi
2032,28945172813614.684,n21,mpi
2033,37307192856933.125,n21,mpi
2034,3605292961916.6426,n21,mpi
2035,29008944745809.883,n21,mpi
2036,26123522161093.297,n21,mpi
2037,27680657394668.297,n21,mpi
2038,10668733771612.402,n21,mpi
2039,30889197818588.973,n21,mpi
2040,26197865763728.047,n21,mpi
2041,7295925586257.482,n21,mpi
2042,15687683360499.518,n21,mpi
2043,20927254318401.043,n21,mpi
2044,19500858597456.72,n21,mpi
2045,10259861419156.791,n21,mpi
2046,20341632723552.46,n21,mpi
2047,43075762932547.75,n21,mpi
2048,11097893888772.213,n21,mpi
2049,17586860024975.27,n21,mpi
2050,51563392901714.88,n21,mpi
2051,7294059210562.601,n21,mpi
2052,25547173329923.41,n21,mpi
2053,43620361446679.49,n21,mpi
2054,9931992665048.93,n21,mpi
2055,4897164299049.253,n21,mpi
2056,6746626746483.465,n21,mpi
2057,19352320040070.188,n21,mpi
2058,47987304619503.8,n21,mpi
2059,39615984963087.266,n21,mpi
2060,4592928208624.237,n21,mpi
2061,34503065616369.434,n21,mpi
2062,43404233250555.97,n21,mpi
2063,38809805843917.32,n21,mpi
2064,14196367784796.111,n21,mpi
2065,39097196496500.34,n21,mpi
2066,26226541904723.83,n21,mpi
2067,34046619857045.11,n21,mpi
2068,14365990381652.848,n21,mpi
2069,18100461596517.766,n21,mpi
2070,62074837763176.87,n21,mpi
2071,7133024873077.406,n21,mpi
2072,20564663815908.89,n21,mpi
2073,25756517185722.688,n21,mpi
2074,14410553280173.984,n21,mpi
2075,34412955963011.695,n21,mpi
2076,42269296885547.65,n21,mpi
2077,18313391269760.36,n21,mpi
2078,21425785986649.906,n21,mpi
2079,79840843605219.78,n21,mpi
2080,49567279221188.53,n21,mpi
2081,59732588931154.83,n21,mpi
2082,19599039821158.402,n21,mpi
2083,74846261390414.0,n21,mpi
2084,8890308723643.883,n21,mpi
2085,92084927820351.39,n21,mpi
2086,36792915254107.69,n21,mpi
2087,32363079469775.047,n21,mpi
2088,79299999310068.62,n21,mpi
2089,59027287150403.45,n21,mpi
2090,45293296468848.61,n21,mpi
2091,91514415270132.77,n21,mpi
2092,29147728173797.14,n21,mpi
2093,17531674027459.406,n21,mpi
2094,43394189821528.36,n21,mpi
2095,36137906619175.484,n21,mpi
2096,65609352633597.94,n21,mpi
2097,8446180176206.033,n21,mpi
2098,61760890388530.375,n21,mpi
2099,72275688295167.4,n21,mpi
2100,61831622189917.61,n21,mpi
2031,22158154510183.02,n15,gfdl
2032,25604370272501.273,n15,gfdl
2033,24773540988058.727,n15,gfdl
2034,34738262975661.723,n15,gfdl
2035,20585971639680.242,n15,gfdl
2036,65772157316187.31,n15,gfdl
2037,43980067584106.125,n15,gfdl
2038,64734950810329.734,n15,gfdl
2039,31706181046886.8,n15,gfdl
2040,27332941223458.05,n15,gfdl
2041,25054400011779.617,n15,gfdl
2042,29364263664836.07,n15,gfdl
2043,20591124732197.703,n15,gfdl
2044,34658767852088.727,n15,gfdl
2045,71683269432607.38,n15,gfdl
2046,45819090310993.05,n15,gfdl
2047,53056072266212.88,n15,gfdl
2048,35100489402750.402,n15,gfdl
2049,38552716193470.96,n15,gfdl
2050,24946646578834.137,n15,gfdl
2051,38221413074340.57,n15,gfdl
2052,28132710954103.383,n15,gfdl
2053,78110393149785.38,n15,gfdl
2054,22872597432228.156,n15,gfdl
2055,52150634995083.69,n15,gfdl
2056,58611679318628.64,n15,gfdl
2057,91609435355301.69,n15,gfdl
2058,90081399612529.16,n15,gfdl
2059,40689210942931.125,n15,gfdl
2060,62425883396874.69,n15,gfdl
2061,60506946740797.445,n15,gfdl
2062,52389455010531.234,n15,gfdl
2063,40675943149506.11,n15,gfdl
2064,85435015821366.69,n15,gfdl
2065,52599329161999.42,n15,gfdl
2066,59734802510240.27,n15,gfdl
2067,43633749338631.76,n15,gfdl
2068,38673094368686.24,n15,gfdl
2069,87615193727937.28,n15,gfdl
2070,78760799264657.86,n15,gfdl
2071,63959592475283.89,n15,gfdl
2072,96607693427881.22,n15,gfdl
2073,37454497031603.836,n15,gfdl
2074,139662620497311.9,n15,gfdl
2075,69834592517765.08,n15,gfdl
2076,68014150709736.17,n15,gfdl
2077,99244244061663.72,n15,gfdl
2078,37380373367964.695,n15,gfdl
2079,69379511833220.2,n15,gfdl
2080,32281807712663.633,n15,gfdl
2081,72861893612483.0,n15,gfdl
2082,92078810883467.34,n15,gfdl
2083,83344318592568.22,n15,gfdl
2084,71910059310436.58,n15,gfdl
2085,63100697446829.34,n15,gfdl
2086,47815570709967.484,n15,gfdl
2087,37006683944250.61,n15,gfdl
2088,33460812306030.64,n15,gfdl
2089,77694031277351.5,n15,gfdl
2090,100176113484137.39,n15,gfdl
2091,38472760698260.2,n15,gfdl
2092,22053965908230.535,n15,gfdl
2093,130104925464154.86,n15,gfdl
2094,96483670726454.0,n15,gfdl
2095,60545602041997.18,n15,gfdl
2096,45346619002789.664,n15,gfdl
2097,72724620244821.42,n15,gfdl
2098,117606844627500.72,n15,gfdl
2099,70831748155419.31,n15,gfdl
2100,83320639516157.67,n15,gfdl
2031,21138665683342.227,n15,mri
2032,3996302217785.818,n15,mri
2033,20932825256091.688,n15,mri
2034,35140333348522.477,n15,mri
2035,69008428801811.84,n15,mri
2036,13490884885862.955,n15,mri
2037,24959059556702.008,n15,mri
2038,4262073073163.4155,n15,mri
2039,11804101765790.86,n15,mri
2040,35804865120115.99,n15,mri
2041,27430463182457.387,n15,mri
2042,6149047729565.398,n15,mri
2043,10392866806621.863,n15,mri
2044,21678480376253.08,n15,mri
2045,2919319020158.6323,n15,mri
2046,9062272109125.07,n15,mri
2047,14522150590130.416,n15,mri
2048,37146403578561.81,n15,mri
2049,26207866145341.48,n15,mri
2050,14380751147777.68,n15,mri
2051,12095793271428.773,n15,mri
2052,18918416071148.48,n15,mri
2053,14273881986861.203,n15,mri
2054,8681728020979.884,n15,mri
2055,7876196252600.06,n15,mri
2056,32879874808072.26,n15,mri
2057,20824285304569.266,n15,mri
2058,7083044981796.011,n15,mri
2059,20568326324099.6,n15,mri
2060,21051053935217.87,n15,mri
2061,30400462587935.844,n15,mri
2062,16444395613265.684,n15,mri
2063,7004307741215.876,n15,mri
2064,35089688310952.453,n15,mri
2065,11745862876134.105,n15,mri
2066,9746858806432.822,n15,mri
2067,20581624763848.984,n15,mri
2068,14156818146674.316,n15,mri
2069,16019786420241.75,n15,mri
2070,23282942727045.996,n15,mri
2071,12919733773951.7,n15,mri
2072,16906580981861.615,n15,mri
2073,9056269240427.436,n15,mri
2074,26532539285473.51,n15,mri
2075,18817006368623.742,n15,mri
2076,21136599473990.496,n15,mri
2077,17841598597740.086,n15,mri
2078,9624395865520.787,n15,mri
2079,24719151312659.73,n15,mri
2080,19596269528080.633,n15,mri
2081,29442854297629.258,n15,mri
2082,5706538930685.246,n15,mri
2083,11770899836230.908,n15,mri
2084,14400884153242.105,n15,mri
2085,9183505582105.7,n15,mri
2086,23721840101980.4,n15,mri
2087,8169904226562.111,n15,mri
2088,54200547487966.78,n15,mri
2089,15312072926126.918,n15,mri
2090,13505080548796.938,n15,mri
2091,8627978369259.875,n15,mri
2092,17667649378750.883,n15,mri
2093,10186058871628.63,n15,mri
2094,9922398202154.078,n15,mri
2095,10584338529861.316,n15,mri
2096,7717655396806.452,n15,mri
2097,17425136931430.541,n15,mri
2098,24105669471113.086,n15,mri
2099,77202561928745.69,n15,mri
2100,21391298338450.05,n15,mri
2031,54962900460159.516,n15,ukesm
2032,32163929669794.664,n15,ukesm
2033,26443799922724.43,n15,ukesm
2034,62091002234361.78,n15,ukesm
2035,33265678189722.758,n15,ukesm
2036,87323895179126.0,n15,ukesm
2037,8605364670446.807,n15,ukesm
2038,43498856472886.06,n15,ukesm
2039,17348093019782.387,n15,ukesm
2040,83773953993204.94,n15,ukesm
2041,68560827469243.39,n15,ukesm
2042,76198201282884.81,n15,ukesm
2043,62260485480692.26,n15,ukesm
2044,33161381452182.707,n15,ukesm
2045,60336394417357.39,n15,ukesm
2046,129915306804318.94,n15,ukesm
2047,105834337808191.1,n15,ukesm
2048,69228878626844.21,n15,ukesm
2049,41004215967178.78,n15,ukesm
2050,152182342652599.25,n15,ukesm
2051,24674950847285.414,n15,ukesm
2052,28503254499939.977,n15,ukesm
2053,105152959282816.03,n15,ukesm
2054,41605218454066.125,n15,ukesm
2055,52234807825247.84,n15,ukesm
2056,140088062037045.88,n15,ukesm
2057,104616103725243.1,n15,ukesm
2058,99522960014489.94,n15,ukesm
2059,141780105081016.94,n15,ukesm
2060,95225236653516.12,n15,ukesm
2061,154260613544673.22,n15,ukesm
2062,70930079755217.19,n15,ukesm
2063,84780684423755.64,n15,ukesm
2064,48600500463385.69,n15,ukesm
2065,86537052563841.11,n15,ukesm
2066,70193134305851.05,n15,ukesm
2067,57839116951830.29,n15,ukesm
2068,131691600950385.66,n15,ukesm
2069,127615345807989.75,n15,ukesm
2070,136813494235127.52,n15,ukesm
2071,84001014293631.22,n15,ukesm
2072,179047204283974.2,n15,ukesm
2073,84306190075659.64,n15,ukesm
2074,156131724013656.66,n15,ukesm
2075,101244804670006.53,n15,ukesm
2076,144831807698817.78,n15,ukesm
2077,172966868231677.7,n15,ukesm
2078,124196276606443.8,n15,ukesm
2079,152087919581544.47,n15,ukesm
2080,79874530512514.69,n15,ukesm
2081,104971894941004.19,n15,ukesm
2082,126477236313449.97,n15,ukesm
2083,141826531906082.0,n15,ukesm
2084,83209157330550.16,n15,ukesm
2085,170966249763462.16,n15,ukesm
2086,133560429789911.95,n15,ukesm
2087,171161869810168.38,n15,ukesm
2088,139546208860366.81,n15,ukesm
2089,161776839493592.25,n15,ukesm
2090,98490874954478.61,n15,ukesm
2091,140731120118094.67,n15,ukesm
2092,152993171566794.7,n15,ukesm
2093,141523435206343.47,n15,ukesm
2094,190173366527036.88,n15,ukesm
2095,139535800535189.94,n15,ukesm
2096,121491638579245.25,n15,ukesm
2097,146474910723572.6,n15,ukesm
2098,161609661257106.6,n15,ukesm
2099,193340638373544.84,n15,ukesm
2100,163168003541782.8,n15,ukesm
2031,26931791112652.28,n15,ipsl
2032,27841343728161.625,n15,ipsl
2033,52789456604095.68,n15,ipsl
2034,50615741673594.68,n15,ipsl
2035,24542794009256.35,n15,ipsl
2036,36490733035172.875,n15,ipsl
2037,43781302124995.33,n15,ipsl
2038,54767269288178.35,n15,ipsl
2039,79881349533438.42,n15,ipsl
2040,80164426187025.28,n15,ipsl
2041,25810498519445.31,n15,ipsl
2042,44772295873898.07,n15,ipsl
2043,23720926253128.72,n15,ipsl
2044,30898049269860.82,n15,ipsl
2045,20584827831571.0,n15,ipsl
2046,55344672173313.61,n15,ipsl
2047,56726733267346.86,n15,ipsl
2048,51331250005099.58,n15,ipsl
2049,32296981541591.555,n15,ipsl
2050,75250313182469.33,n15,ipsl
2051,70841501245608.11,n15,ipsl
2052,22685188638064.65,n15,ipsl
2053,40170085011894.17,n15,ipsl
2054,29900675268786.758,n15,ipsl
2055,78877474907920.84,n15,ipsl
2056,47077394402580.5,n15,ipsl
2057,65172187883713.97,n15,ipsl
2058,42663409460481.11,n15,ipsl
2059,85054106855738.98,n15,ipsl
2060,56658608234523.19,n15,ipsl
2061,81786370210225.1,n15,ipsl
2062,65940515421330.34,n15,ipsl
2063,127943632921607.25,n15,ipsl
2064,58649666116853.16,n15,ipsl
2065,60725785019111.23,n15,ipsl
2066,47030541768035.836,n15,ipsl
2067,102869155413339.86,n15,ipsl
2068,75137303599241.61,n15,ipsl
2069,68998392190596.7,n15,ipsl
2070,21679285498613.02,n15,ipsl
2071,48889673140192.914,n15,ipsl
2072,162812812542707.88,n15,ipsl
2073,59515843934701.9,n15,ipsl
2074,64143360504945.805,n15,ipsl
2075,86841339938176.36,n15,ipsl
2076,83431238709289.1,n15,ipsl
2077,89046459831091.86,n15,ipsl
2078,91950861677901.25,n15,ipsl
2079,147352658758303.0,n15,ipsl
2080,58797086330125.62,n15,ipsl
2081,56123797184013.86,n15,ipsl
2082,156004522864746.75,n15,ipsl
2083,153575831768285.97,n15,ipsl
2084,119509659789413.1,n15,ipsl
2085,128554653239355.62,n15,ipsl
2086,93548368755618.1,n15,ipsl
2087,61279918565708.24,n15,ipsl
2088,75710202816851.1,n15,ipsl
2089,155995016904115.8,n15,ipsl
2090,82319427927374.48,n15,ipsl
2091,136489234250364.28,n15,ipsl
2092,93246307222930.22,n15,ipsl
2093,124669205647115.38,n15,ipsl
2094,157566260282255.2,n15,ipsl
2095,53088494752116.02,n15,ipsl
2096,60818610637954.69,n15,ipsl
2097,151478091825168.3,n15,ipsl
2098,168223850721566.3,n15,ipsl
2099,130557526773767.28,n15,ipsl
2100,84954824899494.11,n15,ipsl
2031,4122325426131.8535,n21,gfdl
2032,7412173638813.144,n21,gfdl
2033,6656335738412.414,n21,gfdl
2034,4821245609516.705,n21,gfdl
2035,7289258417214.331,n21,gfdl
2036,18621871196615.117,n21,gfdl
2037,19177871156648.41,n21,gfdl
2038,15920012439589.523,n21,gfdl
2039,7081673716985.461,n21,gfdl
2040,6000573257064.768,n21,gfdl
2041,6753843755016.141,n21,gfdl
2042,5478761430607.434,n21,gfdl
2043,4431760901900.038,n21,gfdl
2044,6394529800715.199,n21,gfdl
2045,35636980730327.04,n21,gfdl
2046,15441292973799.047,n21,gfdl
2047,15430084350461.016,n21,gfdl
2048,12274548736994.48,n21,gfdl
2049,9551171449731.434,n21,gfdl
2050,4148803642116.9014,n21,gfdl
2051,11136259356688.092,n21,gfdl
2052,5236623830719.056,n21,gfdl
2053,21768675302614.83,n21,gfdl
2054,7347561555459.361,n21,gfdl
2055,14874402501535.746,n21,gfdl
2056,16061193454127.176,n21,gfdl
2057,30220098407185.066,n21,gfdl
2058,32651704291642.395,n21,gfdl
2059,12230526499661.012,n21,gfdl
